CareerName	Attribute	WorkInfo
神職人員	Soclal	負責宗教活動與儀式，提供信仰、精神和活動等方面的輔導
家教	Soclal	在正規學校學習外，為學生提供格外學業指導
補習班老師	Soclal	在正規學校學習外，為學生提供格外學業指導
教授	Soclal	從事學術研究，在大專院校進行研究與教學工作
諮商與臨床心理師	Soclal	評估個人心理與情緒問題，實施療程或提供諮商，協助個案面對問題
運動教練	Soclal	指導個人或團體關於運動的知識和方法，增進其運動表現
看護	Soclal	在機構或家中，協助高齡者或身心障人士的日常活動，包含食衣住行等層面
物理與職能治療師	Soclal	規劃病人、傷者或身心障礙人士的療程，協助改善或恢復獨立生活能力
護理師	Soclal	評估病人的健康問題，提供護理建議與服務，管理並照顧病人
導遊	Soclal	帶領團隊介紹觀光景點、風景名勝，或魚博物館、畫廊進行導覽
服務生	Soclal	負責接待顧客、安排帶位、協助點餐介紹菜色、端送食物等工作
國中老師	Soclal	在學校教導國中學生知識與課程可能教多個科目或帶領班級
高中老師	Soclal	在學校教導高中學生知識與課程可能教多個科目或帶領班級
幼教老師	Soclal	負責教導幼兒知識或課程，促進孩子的身心與社會發展
社工師	Soclal	協助個案適應與融入社會，包含家庭、社區、醫療機構、司法單位等場域
採購	Conventional	購買企業所需的物品或服務。採購原物料、設備或工具等，以利生產
公務員	Conventional	在公家單位服務，處裡行政、公文流程、民眾服務
金融投資分析師	Conventional	收集市場資訊進行分析，研判趨勢並引導投資者進行投資
會計師	Conventional	分析企業財務現況，編製各種報表，包含資產負債、利潤虧損等項目
精算師	Conventional	分析人口統計資料，進行風險預測、預估資金流動、計算保險費率等
資訊安全人員	Conventional	保護網路、資訊等重要的電子設備；處理電腦安全漏洞和病毒
資料與檔案管理員	Conventional	保存、維護並管理資料、文件、檔案及相關系統，包含數位內容或實際物品
行政人員	Conventional	處理辦公室行政，可能包含接聽電話、設備操作、文件處理
網站開發人員	Conventional	分析使用者需求，設計網站內容，包含文字、圖型、影像等
平面設計師	Artistic	按照客戶需求，以各種材料設計圖案，於銷售或宣傳時使用
多媒體設計師	Artistic	利用電腦、影片等多媒體素材，創作動畫、電影、特效、廣告等
室內設計師	Artistic	設計室內空間，包含商業大樓、工業建築、住宅等，兼顧美學和功能性
建築師	Artistic	設計並規劃開發案件，如交通設施、都市規劃、遊樂設施、住宅區等
音樂家	Artistic	在舞台、節目、電影或錄音作品中，演奏樂器或演唱、伴唱
